year,province,noproj,c1
2010,Soc Trang,3,7
2010,Son La,0,10
2010,Tay Ninh,17,14
2010,Thai Binh,3,10
2010,Thai Nguyen,4,10
2010,Thanh Hoa,10,15
2010,Tien Giang,15,8.5
2010,Tra Vinh,7,10
2010,TT-Hue,11,10
2010,Tuyen Quang,1,15
2010,Vinh Long,4,7
2010,Vinh Phuc,10,15
2010,Yen Bai,0,9.25
2011,An Giang,6,7
2011,Bac Giang,11,7
2011,Bac Kan,0,15
2011,Bac Lieu,5,10
2011,Bac Ninh,52,15
2011,Ben Tre,2,10
2011,Binh Dinh,9,7
2011,Binh Duong,80,14
2011,Binh Phuoc,15,10
2011,Binh Thuan,14,8.5
2011,BRVT,25,11
2011,Ca Mau,1,15
2011,Can Tho,7,7
2011,Cao Bang,0,15
2011,Da Nang,37,7
2011,Dak Lak,0,7
2011,Dak Nong,1,10
2011,Dien Bien,0,7
2011,Dong Nai,33,14
2011,Dong Thap,1,7
2011,Gia Lai,0,11
2011,Ha Giang,1,10
2011,Ha Nam,8,15
2011,Ha Noi,257,10
2011,Ha Tinh,12,7
2011,Hai Duong,20,7
2011,Hai Phong,25,10
2011,Hau Giang,1,7
2011,HCMC,359,10
2011,Hoa Binh,6,10
2011,Hung Yen,25,15
2011,Khanh Hoa,6,10
2011,Kien Giang,6,7
2011,Kon Tum,0,7
2011,Lai Chau,0,7
2011,Lam Dong,5,10
2011,Lang Son,1,7
2011,Lao Cai,2,7
2011,Long An,66,7
2011,Nam Dinh,6,7
2011,Nghe An,1,7
2011,Ninh Binh,0,15
2011,Ninh Thuan,1,7.5
2011,Phu Tho,8,10
2011,Phu Yen,6,7
2011,Quang Binh,0,7.75
2011,Quang Nam,4,7
2011,Quang Ngai,1,7
2011,Quang Ninh,3,10
2011,Quang Tri,2,7
2011,Soc Trang,0,7
2011,Son La,1,15
2011,Tay Ninh,7,14
2011,Thai Binh,2,7
2011,Thai Nguyen,1,10
2011,Thanh Hoa,5,10
2011,Tien Giang,11,14.5
2011,Tra Vinh,8,7
2011,TT-Hue,4,7
2011,Tuyen Quang,1,15
2011,Vinh Long,0,7
2011,Vinh Phuc,6,8.5
2011,Yen Bai,6,7
