Province,c1
An Giang,14
Bac Giang,10
Bac Kan,10
Bac Lieu,10
Bac Ninh,10
Ben Tre,8.5
Binh Dinh,7
Binh Duong,15
Binh Phuoc,15
Binh Thuan,10
BRVT,15
Ca Mau,10
Can Tho,10
Cao Bang,8.5
Da Nang,10
Dak Lak,10
Dak Nong,8
Dien Bien,10
Dong Nai,15
Dong Thap,7
Gia Lai,10
Ha Giang,10
Ha Nam,15
Ha Noi,15
Ha Tinh,12
Hai Duong,10
Hai Phong,14
Hau Giang,10
HCMC,15
Hoa Binh,15
Hung Yen,15
Khanh Hoa,10
Kien Giang,8.5
Kon Tum,7
Lai Chau,7
Lam Dong,14
Lang Son,10
Lao Cai,7
Long An,10
Nam Dinh,10
Nghe An,10
Ninh Binh,11
Ninh Thuan,15
Phu Tho,10
Phu Yen,7
Quang Binh,10
Quang Nam,7
Quang Ngai,8.5
Quang Ninh,10
Quang Tri,7
Soc Trang,7
Son La,10
Tay Ninh,14
Thai Binh,10
Thai Nguyen,10
Thanh Hoa,15
Tien Giang,8.5
Tra Vinh,10
TT-Hue,10
Tuyen Quang,15
Vinh Long,7
Vinh Phuc,15
Yen Bai,9.25
