Province,c1
An Giang,12
Bac Giang,10
Bac Kan,15
Bac Lieu,7
Bac Ninh,15
Ben Tre,14.5
Binh Dinh,7
Binh Duong,12
Binh Phuoc,17.5
Binh Thuan,15
BRVT,14
Ca Mau,10
Can Tho,9.25
Cao Bang,15
Da Nang,10
Dak Lak,15
Dak Nong,15
Dien Bien,15
Dong Nai,15
Dong Thap,10
Gia Lai,10
Ha Giang,15
Ha Nam,14
Ha Noi,15
Ha Tinh,15
Hai Duong,15
Hai Phong,15
Hau Giang,7
HCMC,15
Hoa Binh,15
Hung Yen,15
Khanh Hoa,8.5
Kien Giang,10
Kon Tum,7
Lai Chau,7
Lam Dong,15
Lang Son,12.5
Lao Cai,15
Long An,7
Nam Dinh,10
Nghe An,9
Ninh Binh,10
Ninh Thuan,15
Phu Tho,12.5
Phu Yen,7
Quang Binh,7
Quang Nam,10
Quang Ngai,15
Quang Ninh,10
Quang Tri,10
Soc Trang,7
Son La,15
Tay Ninh,12
Thai Binh,15
Thai Nguyen,10
Thanh Hoa,15
Tien Giang,5
Tra Vinh,7
TT-Hue,12
Tuyen Quang,15
Vinh Long,10
Vinh Phuc,15
Yen Bai,10
