Province,c1
Binh Dinh,7
Quang Tri,7
Soc Trang,7
Tuyen Quang,7
Ninh Binh,7
Da Nang,7
Ben Tre,7
Ha Tay,8.5
Kon Tum,8.5
Quang Nam,8.5
TT-Hue,8.5
Gia Lai,10
Quang Ninh,10
Long An,10
Thai Nguyen,10
Lao Cai,10
Ha Giang,10
Can Tho,10
Thanh Hoa,10
Cao Bang,10
Tra Vinh,10
Tien Giang,10
Ha Tinh,12.5
Dong Thap,14
Dong Nai,14
Hai Phong,14.5
An Giang,15
Binh Duong,15
Khanh Hoa,15
Thai Binh,15
Nghe An,15
Ninh Thuan,15
BRVT,15
Vinh Phuc,15
Vinh Long,15
Son La,15
Phu Yen,15
Binh Thuan,15
Dak Nong,15
Hoa Binh,15
Lang Son,15
Phu Tho,15
Hai Duong,15
Bac Kan,15
Lai Chau,15
Bac Giang,15
Dak Lak,15
Lam Dong,15
Quang Binh,15
Tay Ninh,15
Nam Dinh,15
Dien Bien,15
Kien Giang,15
Hung Yen,15
HCMC,15
Quang Ngai,15
Ca Mau,15
Binh Phuoc,15
Yen Bai,20
Ha Noi,20
Bac Ninh,20
Hau Giang,20
Ha Nam,22.5
Bac Lieu,22.5
