Province,c1
Ha Noi,10
Hai Phong,10
Da Nang,7
HCMC,7
Can Tho,7
Thanh Hoa,7
Nghe An,7
Ha Tinh,7
Quang Binh,7
Quang Tri,5
TT-Hue,7
Quang Nam,5
Quang Ngai,7
Binh Dinh,7
Phu Yen,5
Khanh Hoa,7
Dong Thap,7
An Giang,7
Tien Giang,7
Vinh Long,7
Ben Tre,7
Kien Giang,7
Tra Vinh,3.75
Soc Trang,5
Bac Lieu,7
Ca Mau,7
Binh Phuoc,7
Tay Ninh,7
Ninh Thuan,7
Long An,7
Quang Ninh,7
Hau Giang,5
BRVT,7
Bac Ninh,7
Binh Duong,7
Binh Thuan,7
Dong Nai,7
Ha Nam,7
Hai Duong,7
Hung Yen,7
Nam Dinh,7
Ninh Binh,7
Thai Binh,7
Vinh Phuc,7
Bac Kan,7
Bac Giang,7
Cao Bang,5
Dak Lak,7
Dak Nong,7
Dien Bien,5
Gia Lai,7
Hoa Binh,7
Kon Tum,5
Lai Chau,5
Lam Dong,7
Lang Son,7
Lao Cai,7
Phu Tho,5
Son La,7
Thai Nguyen,7
Tuyen Quang,7
Yen Bai,7
Ha Giang,6.5
