Province,c1
Da Nang,13.57
Quang Tri,15.27
Phu Yen,14.64
Dien Bien,12.61
Kon Tum,12.47
Tuyen Quang,20.86
Tay Ninh,25.91
Binh Duong,16.33
Vinh Long,15.7
Phu Tho,15.84
Khanh Hoa,18.55
Bac Giang,19.25
Quang Binh,21.61
Lai Chau,20.48
Dong Thap,11.71
Long An,14.44
Kien Giang,12.5
Ninh Binh,15.99
Nghe An,14.07
Thanh Hoa,19.01
Soc Trang,15.61
Lao Cai,41.08
Son La,21.76
Quang Nam,18.5
Hau Giang,15.62
Ben Tre,16.34
Cao Bang,14.85
An Giang,22.45
TT-Hue,14.2
Ninh Thuan,22.81
BRVT,20.92
Nam Dinh,42.1
Ha Giang,18.41
Hai Phong,17.05
Ha Tinh,20.89
Vinh Phuc,27
Bac Ninh,22.3
Bac Kan,17.02
Lam Dong,24.26
Yen Bai,37.11
Binh Dinh,18.24
Gia Lai,16.57
HCMC,20.21
Dong Nai,25.95
Thai Nguyen,17
Thai Binh,28.08
Lang Son,20.72
Tra Vinh,22.16
Quang Ninh,19.66
Quang Ngai,20.47
Hung Yen,22.8
Hoa Binh,19.46
Ha Nam,24.66
Can Tho,15.43
Dak lak,26.2
Binh Thuan,25.09
Hai Duong,21.86
Ha Tay,52.69
Ca Mau,58.44
Tien Giang,43.59
Ha Noi,26.68
Bac Lieu,25.2
Dak nong,20.59
Binh Phuoc,28.88
